bus,sub,time,KV,region,area,coordinates,VOLTAGE,NAME,gisType,kvBase,PU,styleColor,styleOpacity,styleWeight
138A,106S,2026-07-12T01:21:38,141.047119140625,WE,29,"-115.44382892986894,53.603732694575996",138,Paddle River,Point,138,1.022,green,0.3,8
4_16_B1,106S,2026-07-12T01:21:38,4.140000343322754,WE,29,"-115.45784068682823,53.59876226315975",138,Paddle River,Point,25,0.166,grey,0.3,8
34B1,1080S,2026-07-12T01:21:38,34.79999923706055,SE,48,"-111.37768190280076,50.69599915030986",240,Raptor,Point,72,0.483,purple,0.3,8
1120L_1,108S,2026-07-12T01:21:38,248.72201538085938,EE,33,"-113.05417510695672,53.82899464848671",240,Amelia,Point,240,1.036,red,0.3,8
2401,108S,2026-07-12T01:21:38,248.2058868408203,EE,33,"-113.04268546463284,53.81760398030274",240,Amelia,Point,240,1.034,red,0.3,8
2402,108S,2026-07-12T01:21:38,248.60076904296875,EE,33,"-113.0422783306308,53.82446856526532",240,Amelia,Point,240,1.036,red,0.3,8
943L_9C,108S,2026-07-12T01:21:38,248.54881286621094,EE,33,"-113.0408902195089,53.82502625040884",240,Amelia,Point,240,1.036,red,0.3,8
1381,111S,2026-07-12T01:21:38,142.94000244140625,SW,54,"-112.84798773740734,49.67789859194231",138,Coalbanks,Point,138,1.036,green,0.3,8
138A,114S,2026-07-12T01:21:38,151.61000061035156,EC,42,"-113.3192019941005,51.87698619288744",144,Ghost Pine,Point,138,1.099,green,0.493,8
35A,114S,2026-07-12T01:21:38,35.2599983215332,EC,42,"-113.30899087823069,51.8895226613433",144,Ghost Pine,Point,72,0.49,purple,0.3,8
F1,114S,2026-07-12T01:21:38,35.25,EC,42,"-113.31877077781226,51.88451990758578",144,Ghost Pine,Point,72,0.49,purple,0.3,8
F2,114S,2026-07-12T01:21:38,35.25,EC,42,"-113.319992904973,51.89037769416859",144,Ghost Pine,Point,72,0.49,purple,0.3,8
F3,114S,2026-07-12T01:21:38,35.2599983215332,EC,42,"-113.31733854224609,51.88159788466117",144,Ghost Pine,Point,72,0.49,purple,0.3,8
F4,114S,2026-07-12T01:21:38,35.2599983215332,EC,42,"-113.31158888243111,51.879046005563836",144,Ghost Pine,Point,72,0.49,purple,0.3,8
F5,114S,2026-07-12T01:21:38,35.23999786376953,EC,42,"-113.32539522159308,51.8799593825232",144,Ghost Pine,Point,72,0.489,purple,0.3,8
KV_SETPOINT,114S,2026-07-12T01:21:38,0.0,EC,42,"-113.31620904307066,51.888220596372406",144,Ghost Pine,Point,25,0,grey,0.3,8
138A,1182S,2026-07-12T01:21:38,140.40000915527344,NW,24,"-117.42489986111407,54.04860656827934",138,Berland River,Point,138,1.017,green,0.3,8
13G1,1200S,2026-07-12T01:21:38,13.399999618530273,EE,28,"-110.53513977927513,55.06219065884173",138,Foster Creek,Point,25,0.536,grey,0.3,8
13G2,1200S,2026-07-12T01:21:38,13.300000190734863,EE,28,"-110.54274497345216,55.064034794588395",138,Foster Creek,Point,25,0.532,grey,0.3,8
144A,1200S,2026-07-12T01:21:38,139.6999969482422,EE,28,"-110.53046373855132,55.06441049249556",138,Foster Creek,Point,138,1.012,green,0.3,8
1005L_10A,120S,2026-07-12T01:21:38,255.719482421875,SW,54,"-112.73545324542381,49.822503237062",240,Picture Butte,Point,240,1.065,red,0.327,8
1052,120S,2026-07-12T01:21:38,232.3000030517578,SW,54,"-112.7416051297845,49.831487460561334",240,Picture Butte,Point,240,0.968,red,0.3,8
1152,120S,2026-07-12T01:21:38,255.6999969482422,SW,54,"-112.73283083019275,49.828450683093585",240,Picture Butte,Point,240,1.065,red,0.327,8
1352,120S,2026-07-12T01:21:38,255.59999084472656,SW,54,"-112.73489217884341,49.82616348904635",240,Picture Butte,Point,240,1.065,red,0.325,8
2401,120S,2026-07-12T01:21:38,256.2159423828125,SW,54,"-112.7459368994001,49.8344720627007",240,Picture Butte,Point,240,1.068,red,0.338,8
940L_10A,120S,2026-07-12T01:21:38,255.23451232910156,SW,54,"-112.72925053332231,49.82072646488765",240,Picture Butte,Point,240,1.063,red,0.317,8
138N,121S,2026-07-12T01:21:38,142.1800079345703,SE,47,"-111.88858800822835,50.55033985583423",138,Brooks,Point,138,1.03,green,0.3,8
138X,121S,2026-07-12T01:21:38,142.02999877929688,SE,47,"-111.89833614791478,50.562020131932265",138,Brooks,Point,138,1.029,green,0.3,8
2503,121S,2026-07-12T01:21:38,25.899999618530273,SE,47,"-111.89186960574882,50.558782294119354",138,Brooks,Point,25,1.036,grey,0.3,8
2505,121S,2026-07-12T01:21:38,26.0,SE,47,"-111.89958499197795,50.55736229208791",138,Brooks,Point,25,1.04,grey,0.3,8
2509,121S,2026-07-12T01:21:38,25.600000381469727,SE,47,"-111.90119528234487,50.55684479336435",138,Brooks,Point,25,1.024,grey,0.3,8
25_1,121S,2026-07-12T01:21:38,0.0,SE,47,"-111.90475411809084,50.55920846250744",138,Brooks,Point,25,0,grey,0.3,8
25_2,121S,2026-07-12T01:21:38,0.0,SE,47,"-111.89979210696104,50.55650512456537",138,Brooks,Point,25,0,grey,0.3,8
25A,123S,2026-07-12T01:21:38,25.814998626708984,CY,44,"-115.56269342759674,51.19408908967979",69/138,Banff,Point,25,1.033,grey,0.3,8
69A,123S,2026-07-12T01:21:38,70.3800048828125,CY,44,"-115.57182251966792,51.18384000599684",69/138,Banff,Point,72,0.978,purple,0.3,8
138B,127S,2026-07-12T01:21:38,141.24000549316406,EE,33,"-112.86506359806093,53.79628504328376",138,Bruderheim,Point,138,1.023,green,0.3,8
1054,12S,2026-07-12T01:21:38,251.16419982910156,EE,33,"-113.23238697194722,53.867387210283134",240/500,Heartland,Point,240,1.047,red,0.3,8
