bus,sub,time,KV,region,area,coordinates,VOLTAGE,NAME,gisType,kvBase,PU,styleColor,styleOpacity,styleWeight
138_1,287S,2026-07-12T01:21:38,142.79000854492188,WC,39,"-113.85634240424545,52.041539771886086",138/240,Hazelwood,Point,138,1.035,green,0.3,8
240_1,287S,2026-07-12T01:21:38,254.66000366210938,WC,39,"-113.86084807555149,52.04016869175883",138/240,Hazelwood,Point,240,1.061,red,0.305,8
240_2,287S,2026-07-12T01:21:38,254.3530731201172,WC,39,"-113.85760789540166,52.037345292452",138/240,Hazelwood,Point,240,1.06,red,0.3,8
1075,28S,2026-07-12T01:21:38,255.4770050048828,SE,47,"-112.01582761016374,50.5657531502953",138/240,West Brooks,Point,240,1.064,red,0.322,8
1381,28S,2026-07-12T01:21:38,142.5800018310547,SE,47,"-112.02168249898749,50.55862983029326",138/240,West Brooks,Point,138,1.033,green,0.3,8
2401,28S,2026-07-12T01:21:38,255.54627990722656,SE,47,"-112.01026944089601,50.55891472236368",138/240,West Brooks,Point,240,1.065,red,0.324,8
2402,28S,2026-07-12T01:21:38,255.6501922607422,SE,47,"-112.0105632116054,50.556939335681705",138/240,West Brooks,Point,240,1.065,red,0.326,8
1AB1,291S,2026-07-12T01:21:38,141.31277465820312,CY,44,"-114.47936457749016,51.1802457752818",138,Cochrane,Point,138,1.024,green,0.3,8
1AB2,291S,2026-07-12T01:21:38,140.9703369140625,CY,44,"-114.48104603998809,51.16360574093704",138,Cochrane,Point,138,1.022,green,0.3,8
138A,293S,2026-07-12T01:21:38,141.95001220703125,WE,60,"-113.3602855015888,53.539319535822045",138,Bernese,Point,138,1.029,green,0.3,8
13A,294S,2026-07-12T01:21:38,13.869136810302734,WE,30,"-115.5893969087046,52.96123215694522",138,Brazeau Outlet Works,Point,25,0.555,grey,0.3,8
25_A,294S,2026-07-12T01:21:38,26.022180557250977,WE,30,"-115.59548375782546,52.96833852000316",138,Brazeau Outlet Works,Point,25,1.041,grey,0.3,8
138A,296S,2026-07-12T01:21:38,141.93629455566406,EC,32,"-111.27972891068757,52.629163626956796",138,Rosyth,Point,138,1.029,green,0.3,8
4_A,296S,2026-07-12T01:21:38,4.185999870300293,EC,32,"-111.27779931458264,52.631078185099625",138,Rosyth,Point,25,0.167,grey,0.3,8
4_B,296S,2026-07-12T01:21:38,4.229999542236328,EC,32,"-111.27588017432804,52.64821582248076",138,Rosyth,Point,25,0.169,grey,0.3,8
T3_L,296S,2026-07-12T01:21:38,4.312798023223877,EC,32,"-111.27945310064422,52.63038946527095",138,Rosyth,Point,25,0.173,grey,0.3,8
1AB1,297S,2026-07-12T01:21:38,140.2008056640625,WC,35,"-114.28474468977464,52.63090246360265",138,Rimbey,Point,138,1.016,green,0.3,8
25BC,297S,2026-07-12T01:21:38,25.525785446166992,WC,35,"-114.28687140093609,52.63499653231647",138,Rimbey,Point,25,1.021,grey,0.3,8
WLC1,297S,2026-07-12T01:21:38,25.450654983520508,WC,35,"-114.28499875292621,52.63021003572739",138,Rimbey,Point,25,1.018,grey,0.3,8
138A,299S,2026-07-12T01:21:38,142.74905395507812,WE,31,"-112.8859649201882,53.18740474716326",138,Kingman,Point,138,1.034,green,0.3,8
138A,29S,2026-07-12T01:21:38,143.3000030517578,CY,44,"-115.51176661180192,51.203084917846276",138,Cascade,Point,138,1.038,green,0.3,8
13A,29S,2026-07-12T01:21:38,13.380836486816406,CY,44,"-115.50458730704548,51.190929261875205",138,Cascade,Point,25,0.535,grey,0.3,8
1A01,301S,2026-07-12T01:21:38,142.8800048828125,WE,31,"-112.87413578361983,53.19119417111761",138,Queensland,Point,138,1.035,green,0.3,8
35B1,303S,2026-07-12T01:21:38,34.5,CY,46,"-113.87248381182503,50.65788969308564",138,Saddlebrook,Point,72,0.479,purple,0.3,8
138B1,305S,2026-07-12T01:21:38,142.36000061035156,WE,60,"-113.76876946806199,53.51743184557473",138,Acheson,Point,138,1.032,green,0.3,8
138B2,305S,2026-07-12T01:21:38,142.5500030517578,WE,60,"-113.78142486819658,53.520940462573535",138,Acheson,Point,138,1.033,green,0.3,8
25_E,305S,2026-07-12T01:21:38,26.17999839782715,WE,60,"-113.77069987169375,53.51677758733779",138,Acheson,Point,25,1.047,grey,0.3,8
35B1,306S,2026-07-12T01:21:38,34.70000076293945,SE,48,"-111.07124308337231,50.83054115100177",240,Halsbury,Point,72,0.482,purple,0.3,8
35B2,306S,2026-07-12T01:21:38,34.599998474121094,SE,48,"-111.06013219220699,50.83105977300319",240,Halsbury,Point,72,0.481,purple,0.3,8
35B3,306S,2026-07-12T01:21:38,34.599998474121094,SE,48,"-111.07305297401541,50.8317961458966",240,Halsbury,Point,72,0.481,purple,0.3,8
138A,308S,2026-07-12T01:21:38,141.54000854492188,EE,33,"-112.89749600055323,53.79701091346408",138,Albchem Beaverhill Creek,Point,138,1.026,green,0.3,8
138A,309S,2026-07-12T01:21:38,142.1999969482422,WE,60,"-113.37614425494515,53.54278763418933",138,Anthony Henday,Point,138,1.03,green,0.3,8
1045L_10,310P,2026-07-12T01:21:38,256.20001220703125,WE,40,"-114.54369685622893,53.508394608042586",69/138/240,Sundance,Point,240,1.068,red,0.338,8
1046L,310P,2026-07-12T01:21:38,260.3000183105469,WE,40,"-114.5619679480987,53.5054325731879",69/138/240,Sundance,Point,240,1.085,red,0.423,8
138A,310P,2026-07-12T01:21:38,142.79000854492188,WE,40,"-114.5542112334217,53.50462202028006",69/138/240,Sundance,Point,138,1.035,green,0.3,8
20B,310P,2026-07-12T01:21:38,0.0,WE,40,"-114.54403269592949,53.508497807006826",69/138/240,Sundance,Point,25,0,grey,0.3,8
20C,310P,2026-07-12T01:21:38,0.0,WE,40,"-114.553950838497,53.51665555228683",69/138/240,Sundance,Point,25,0,grey,0.3,8
20D,310P,2026-07-12T01:21:38,0.0,WE,40,"-114.55044426761181,53.50041534214121",69/138/240,Sundance,Point,25,0,grey,0.3,8
240A,310P,2026-07-12T01:21:38,259.3741149902344,WE,40,"-114.54912010590813,53.49896467809836",69/138/240,Sundance,Point,240,1.081,red,0.404,8
240B,310P,2026-07-12T01:21:38,259.7724609375,WE,40,"-114.55030950802188,53.506955900181715",69/138/240,Sundance,Point,240,1.082,red,0.412,8
69A,310P,2026-07-12T01:21:38,72.0,WE,40,"-114.55062151519536,53.508845696058216",69/138/240,Sundance,Point,72,1,purple,0.3,8
902L_1,310P,2026-07-12T01:21:38,260.3500061035156,WE,40,"-114.54476506018713,53.508666775696305",69/138/240,Sundance,Point,240,1.085,red,0.424,8
909L,310P,2026-07-12T01:21:38,260.19000244140625,WE,40,"-114.55514911191003,53.506318571229336",69/138/240,Sundance,Point,240,1.084,red,0.421,8
919L_01,310P,2026-07-12T01:21:38,259.7610168457031,WE,40,"-114.54632245089388,53.5104429290194",69/138/240,Sundance,Point,240,1.082,red,0.412,8
922L,310P,2026-07-12T01:21:38,264.1700134277344,WE,40,"-114.55817404589081,53.51499866256562",69/138/240,Sundance,Point,240,1.101,red,0.504,8
926L,310P,2026-07-12T01:21:38,260.25,WE,40,"-114.55123629253988,53.49970872536229",69/138/240,Sundance,Point,240,1.084,red,0.422,8
973L,310P,2026-07-12T01:21:38,260.2900085449219,WE,40,"-114.56218719604163,53.51390395569481",69/138/240,Sundance,Point,240,1.085,red,0.423,8
989L,310P,2026-07-12T01:21:38,260.5500183105469,WE,40,"-114.55055066908034,53.51275673072347",69/138/240,Sundance,Point,240,1.086,red,0.428,8
1071L,312S,2026-07-12T01:21:38,254.35116577148438,SW,53,"-113.82990913307766,49.566620977281474",138/240,Fidler,Point,240,1.06,red,0.3,8
1AB1,312S,2026-07-12T01:21:38,140.90396118164062,SW,53,"-113.82083846705005,49.570299922421796",138/240,Fidler,Point,138,1.021,green,0.3,8
2AB1,312S,2026-07-12T01:21:38,253.98121643066406,SW,53,"-113.82019711646346,49.561434887964445",138/240,Fidler,Point,240,1.058,red,0.3,8
2AB2,312S,2026-07-12T01:21:38,254.11419677734375,SW,53,"-113.82670084651618,49.561204444362694",138/240,Fidler,Point,240,1.059,red,0.3,8
994L,312S,2026-07-12T01:21:38,254.17796325683594,SW,53,"-113.81163601250675,49.577616926552864",138/240,Fidler,Point,240,1.059,red,0.3,8
13B1,313S,2026-07-12T01:21:38,14.09999942779541,SW,55,"-112.69425403805457,49.40577251859071",138,Raymond Reservoir,Point,25,0.564,grey,0.3,8
25A,316S,2026-07-12T01:21:38,25.990999221801758,WC,57,"-114.02876076429203,51.438736853683714",138,West Crossfield,Point,25,1.04,grey,0.3,8
138B1,318S,2026-07-12T01:21:38,141.1999969482422,EE,33,"-113.13207319811211,53.81139029345631",138,Scoria,Point,138,1.023,green,0.3,8
7_SWG_100,318S,2026-07-12T01:21:38,14.0,EE,33,"-113.13863991973464,53.81513862692206",138,Scoria,Point,25,0.56,grey,0.3,8
1043,320P,2026-07-12T01:21:38,0.0,WE,40,"-114.44698272005135,53.45987390367043",69/138/240,Keephills,Point,25,0,grey,0.3,8
1203,320P,2026-07-12T01:21:38,532.0,WE,40,"-114.4371989527816,53.440474395336686",69/138/240,Keephills,Point,500,1.064,blue,0.32,8
138A,320P,2026-07-12T01:21:38,143.010009765625,WE,40,"-114.43852159933337,53.450213705591125",69/138/240,Keephills,Point,138,1.036,green,0.3,8
190L,320P,2026-07-12T01:21:38,257.1999816894531,WE,40,"-114.44065349273426,53.45054877804767",69/138/240,Keephills,Point,240,1.072,red,0.358,8
191,320P,2026-07-12T01:21:38,0.0,WE,40,"-114.43868036593018,53.45382168933671",69/138/240,Keephills,Point,25,0,grey,0.3,8
192,320P,2026-07-12T01:21:38,18.899999618530273,WE,40,"-114.4375892439551,53.4586871932626",69/138/240,Keephills,Point,25,0.756,grey,0.3,8
22A,320P,2026-07-12T01:21:38,0.0,WE,40,"-114.43978921593408,53.45018164568171",69/138/240,Keephills,Point,25,0,grey,0.3,8
240A,320P,2026-07-12T01:21:38,255.53001403808594,WE,40,"-114.43903185205737,53.453030454722196",69/138/240,Keephills,Point,240,1.065,red,0.324,8
240B,320P,2026-07-12T01:21:38,255.59693908691406,WE,40,"-114.4450628672744,53.45141584536964",69/138/240,Keephills,Point,240,1.065,red,0.325,8
25A,320P,2026-07-12T01:21:38,25.22637939453125,WE,40,"-114.45619056602548,53.446875324704095",69/138/240,Keephills,Point,25,1.009,grey,0.3,8
500B,320P,2026-07-12T01:21:38,532.5,WE,40,"-114.45086189582626,53.44378201734552",69/138/240,Keephills,Point,500,1.065,blue,0.325,8
500G,320P,2026-07-12T01:21:38,531.7000122070312,WE,40,"-114.45575498956244,53.4589528430232",69/138/240,Keephills,Point,500,1.063,blue,0.317,8
809L,320P,2026-07-12T01:21:38,142.97000122070312,WE,40,"-114.44040409869321,53.458959270985204",69/138/240,Keephills,Point,138,1.036,green,0.3,8
903L,320P,2026-07-12T01:21:38,255.3121337890625,WE,40,"-114.43913229606433,53.44095647841573",69/138/240,Keephills,Point,240,1.064,red,0.319,8
PS2,320P,2026-07-12T01:21:38,256.3999938964844,WE,40,"-114.45467988794695,53.45700205693539",69/138/240,Keephills,Point,240,1.068,red,0.342,8
138B1,321S,2026-07-12T01:21:38,141.3800048828125,SE,4,"-110.72124931659314,50.06330370703627",138,Al Rothbauer,Point,138,1.024,green,0.3,8
1034L_1,324S,2026-07-12T01:21:38,256.02001953125,SE,47,"-112.01967415648419,50.54520372706864",240,Cassils,Point,240,1.067,red,0.334,8
1051L_10,324S,2026-07-12T01:21:38,255.9400177001953,SE,47,"-112.0289451956018,50.551458136728534",240,Cassils,Point,240,1.066,red,0.332,8
1052L_10,324S,2026-07-12T01:21:38,256.19000244140625,SE,47,"-112.01751150046935,50.54691449820464",240,Cassils,Point,240,1.067,red,0.337,8
1053L_10A,324S,2026-07-12T01:21:38,256.0,SE,47,"-112.01886719287987,50.55089359547508",240,Cassils,Point,240,1.067,red,0.333,8
1087L_10A,324S,2026-07-12T01:21:38,256.19000244140625,SE,47,"-112.02891084781577,50.560809208711234",240,Cassils,Point,240,1.067,red,0.337,8
1088L_10A,324S,2026-07-12T01:21:38,256.1800231933594,SE,47,"-112.03340391442435,50.54931912240848",240,Cassils,Point,240,1.067,red,0.337,8
2401,324S,2026-07-12T01:21:38,255.5900115966797,SE,47,"-112.03469457959044,50.56439067312207",240,Cassils,Point,240,1.065,red,0.325,8
2402,324S,2026-07-12T01:21:38,255.53001403808594,SE,47,"-112.03174784636188,50.55135609215103",240,Cassils,Point,240,1.065,red,0.324,8
935L_10,324S,2026-07-12T01:21:38,256.1300048828125,SE,47,"-112.01826330327425,50.55310890654134",240,Cassils,Point,240,1.067,red,0.336,8
138A,32S,2026-07-12T01:21:38,143.010009765625,CY,44,"-115.03136545735198,51.02762063961114",138,Barrier,Point,138,1.036,green,0.3,8
13A,32S,2026-07-12T01:21:38,13.575401306152344,CY,44,"-115.03886604036508,51.037217457626575",138,Barrier,Point,25,0.543,grey,0.3,8
138A,331S,2026-07-12T01:21:38,142.46090698242188,WE,31,"-113.54163359022998,52.69121341946246",138,Ponoka,Point,138,1.032,green,0.3,8
138B,331S,2026-07-12T01:21:38,142.5128631591797,WE,31,"-113.55638886569297,52.69266830718481",138,Ponoka,Point,138,1.033,green,0.3,8
138A,336S,2026-07-12T01:21:38,140.9199981689453,SE,52,"-111.95914054856968,49.81053988369514",138,Fincastle,Point,138,1.021,green,0.3,8
25_A,336S,2026-07-12T01:21:38,25.871997833251953,SE,52,"-111.96043114959105,49.81035241517755",138,Fincastle,Point,25,1.035,grey,0.3,8
607L,336S,2026-07-12T01:21:38,140.72885131835938,SE,52,"-111.9653882654474,49.82560597311745",138,Fincastle,Point,138,1.02,green,0.3,8
610L,336S,2026-07-12T01:21:38,140.76348876953125,SE,52,"-111.96700379973451,49.81081902399425",138,Fincastle,Point,138,1.02,green,0.3,8
138A,33S,2026-07-12T01:21:38,143.91188049316406,CY,44,"-115.39769565102492,51.06791720796972",138,Spray,Point,138,1.043,green,0.3,8
13A,33S,2026-07-12T01:21:38,13.948999404907227,CY,44,"-115.40708427535108,51.07197141076626",138,Spray,Point,25,0.558,grey,0.3,8
13B,33S,2026-07-12T01:21:38,14.13055419921875,CY,44,"-115.41197013243,51.07531397818188",138,Spray,Point,25,0.565,grey,0.3,8
138B1,345S,2026-07-12T01:21:38,142.45001220703125,WE,29,"-116.65565992696996,53.5662731197491",138,Hornbeck,Point,138,1.032,green,0.3,8
138A,347S,2026-07-12T01:21:38,140.6999969482422,NW,24,"-116.61021557150787,54.31936756959186",138,Fox Creek (AltaLink),Point,138,1.02,green,0.3,8
138A,348S,2026-07-12T01:21:38,142.6341094970703,WE,29,"-116.79542018428982,53.67078979448534",138,Marlboro,Point,138,1.034,green,0.3,8
T1_L,348S,2026-07-12T01:21:38,4.226999759674072,WE,29,"-116.78111402635416,53.686280113718944",138,Marlboro,Point,25,0.169,grey,0.3,8
T2_L,348S,2026-07-12T01:21:38,4.200999736785889,WE,29,"-116.78028612877414,53.67683830771693",138,Marlboro,Point,25,0.168,grey,0.3,8
138A,349S,2026-07-12T01:21:38,140.1458740234375,SW,49,"-113.61345787659063,50.16853084065162",138,Stavely,Point,138,1.016,green,0.3,8
ALP_G1,349S,2026-07-12T01:21:38,0.0,SW,49,"-113.62357298635085,50.16307738547375",138,Stavely,Point,25,0,grey,0.3,8
ALP_G2,349S,2026-07-12T01:21:38,0.0,SW,49,"-113.61935106321569,50.17005306567558",138,Stavely,Point,25,0,grey,0.3,8
ALP_G3,349S,2026-07-12T01:21:38,0.0,SW,49,"-113.61337692691714,50.164513472847524",138,Stavely,Point,25,0,grey,0.3,8
C25,349S,2026-07-12T01:21:38,26.101533889770508,SW,49,"-113.61237789696047,50.16329816934328",138,Stavely,Point,25,1.044,grey,0.3,8
69A,352S,2026-07-12T01:21:38,71.54560852050781,WE,40,"-114.1767389467108,53.70192019402817",69,Onoway,Point,72,0.994,purple,0.3,8
138A,353S,2026-07-12T01:21:38,140.97000122070312,EE,27,"-112.33548496839748,54.82431601881281",138,Plamondon,Point,138,1.022,green,0.3,8
25A,353S,2026-07-12T01:21:38,25.687997817993164,EE,27,"-112.34185160608077,54.828107222886395",138,Plamondon,Point,25,1.028,grey,0.3,8
138A,354S,2026-07-12T01:21:38,142.39999389648438,SW,53,"-113.78853108902061,49.57769967628546",138,Summerview,Point,138,1.032,green,0.3,8
35B1,354S,2026-07-12T01:21:38,34.70000076293945,SW,53,"-113.79929710469213,49.59045910174512",138,Summerview,Point,72,0.482,purple,0.3,8
35B2,354S,2026-07-12T01:21:38,34.5,SW,53,"-113.7856692407516,49.59092824388383",138,Summerview,Point,72,0.479,purple,0.3,8
G1,354S,2026-07-12T01:21:38,35.71000289916992,SW,53,"-113.79339607299111,49.57854084173477",138,Summerview,Point,72,0.496,purple,0.3,8
G2,354S,2026-07-12T01:21:38,34.31999969482422,SW,53,"-113.80013603681573,49.585936298231125",138,Summerview,Point,72,0.477,purple,0.3,8
1005L,356S,2026-07-12T01:21:38,256.08001708984375,SE,47,"-112.76875196488808,50.51873925265391",240,Milo,Point,240,1.067,red,0.335,8
1036L,356S,2026-07-12T01:21:38,256.25,SE,47,"-112.7704681611407,50.527410451507066",240,Milo,Point,240,1.068,red,0.339,8
240B1,356S,2026-07-12T01:21:38,256.08001708984375,SE,47,"-112.76576085934074,50.514561962028395",240,Milo,Point,240,1.067,red,0.335,8
240B2,356S,2026-07-12T01:21:38,256.0,SE,47,"-112.77104334752343,50.527687138222745",240,Milo,Point,240,1.067,red,0.333,8
923L_10A,356S,2026-07-12T01:21:38,256.2900085449219,SE,47,"-112.76495381563734,50.52648661747972",240,Milo,Point,240,1.068,red,0.339,8
924L,356S,2026-07-12T01:21:38,256.010009765625,SE,47,"-112.76541655012251,50.52136793190308",240,Milo,Point,240,1.067,red,0.334,8
927L,356S,2026-07-12T01:21:38,256.32000732421875,SE,47,"-112.77170405577529,50.51510106703001",240,Milo,Point,240,1.068,red,0.34,8
935L,356S,2026-07-12T01:21:38,256.2634582519531,SE,47,"-112.77253190503215,50.531029733498855",240,Milo,Point,240,1.068,red,0.339,8
138A,358S,2026-07-12T01:21:38,139.5,WE,30,"-115.92796387306504,52.934697681247016",138,Brazeau,Point,138,1.011,green,0.3,8
25_A,358S,2026-07-12T01:21:38,25.7549991607666,WE,30,"-115.92254464899779,52.94337330320345",138,Brazeau,Point,25,1.03,grey,0.3,8
138A,35S,2026-07-12T01:21:38,143.3533172607422,CY,44,"-115.37026965406795,51.079127052531035",138,Rundle,Point,138,1.039,green,0.3,8
13A,35S,2026-07-12T01:21:38,13.709033966064453,CY,44,"-115.37818093756448,51.08492830330711",138,Rundle,Point,25,0.548,grey,0.3,8
25A,35S,2026-07-12T01:21:38,25.78999900817871,CY,44,"-115.37783936495407,51.09798681436579",138,Rundle,Point,25,1.032,grey,0.3,8
34B1,363S,2026-07-12T01:21:38,34.5,EC,42,"-110.65905781776563,51.74905504045303",240,Sedalia,Point,72,0.479,purple,0.3,8
138B1,364S,2026-07-12T01:21:38,142.510009765625,NW,26,"-115.65181569776381,54.133962833147805",138,Whitecourt Industrial,Point,138,1.033,green,0.3,8
138B2,364S,2026-07-12T01:21:38,142.510009765625,NW,26,"-115.6536992289263,54.13711663160657",138,Whitecourt Industrial,Point,138,1.033,green,0.3,8
138_1,367S,2026-07-12T01:21:38,142.35000610351562,WE,60,"-113.84321570596671,53.4831260323316",138/240,Harry Smith,Point,138,1.032,green,0.3,8
138_2,367S,2026-07-12T01:21:38,142.3100128173828,WE,60,"-113.85175876980854,53.479188943070724",138/240,Harry Smith,Point,138,1.031,green,0.3,8
240_1,367S,2026-07-12T01:21:38,254.10000610351562,WE,60,"-113.85879007131267,53.49014099004949",138/240,Harry Smith,Point,240,1.059,red,0.3,8
240_2,367S,2026-07-12T01:21:38,254.17001342773438,WE,60,"-113.85034565317272,53.48061098688489",138/240,Harry Smith,Point,240,1.059,red,0.3,8
138_B1,368S,2026-07-12T01:21:38,140.1572723388672,SE,52,"-111.5345316188112,49.81247343319156",138,Burdett,Point,138,1.016,green,0.3,8
138_B2,368S,2026-07-12T01:21:38,140.3300018310547,SE,52,"-111.53061771845172,49.80682448337619",138,Burdett,Point,138,1.017,green,0.3,8
2512,368S,2026-07-12T01:21:38,25.899999618530273,SE,52,"-111.54177460889055,49.824410221269666",138,Burdett,Point,25,1.036,grey,0.3,8
25_B1,368S,2026-07-12T01:21:38,25.96299934387207,SE,52,"-111.54844255127816,49.815453327907925",138,Burdett,Point,25,1.039,grey,0.3,8
25_B2,368S,2026-07-12T01:21:38,25.895998001098633,SE,52,"-111.5356500397307,49.80993871740782",138,Burdett,Point,25,1.036,grey,0.3,8
BUR1,368S,2026-07-12T01:21:38,25.899999618530273,SE,52,"-111.5493630281272,49.81770030864674",138,Burdett,Point,25,1.036,grey,0.3,8
GEN,368S,2026-07-12T01:21:38,25.812101364135742,SE,52,"-111.54695828553396,49.81564654191133",138,Burdett,Point,25,1.032,grey,0.3,8
138A,377S,2026-07-12T01:21:38,141.2953643798828,EC,32,"-111.27294369969323,52.635976484537665",138,Hardisty,Point,138,1.024,green,0.3,8
138A,378S,2026-07-12T01:21:38,142.6699981689453,WC,38,"-114.76915283473414,51.9623533735387",138,Caroline,Point,138,1.034,green,0.3,8
138B,378S,2026-07-12T01:21:38,142.62001037597656,WC,38,"-114.76557782276419,51.974392133209",138,Caroline,Point,138,1.033,green,0.3,8
25A,378S,2026-07-12T01:21:38,24.89499855041504,WC,38,"-114.77126263014459,51.976786765236106",138,Caroline,Point,25,0.996,grey,0.3,8
25B,378S,2026-07-12T01:21:38,24.818998336791992,WC,38,"-114.76207657894861,51.97715161207093",138,Caroline,Point,25,0.993,grey,0.3,8
70A8,378S,2026-07-12T01:21:38,24.78299903869629,WC,38,"-114.77409051594717,51.973295579661944",138,Caroline,Point,25,0.991,grey,0.3,8
GTG,378S,2026-07-12T01:21:38,0.0,WC,38,"-114.75504175614735,51.96186628472008",138,Caroline,Point,25,0,grey,0.3,8
138A,37S,2026-07-12T01:21:38,141.9643096923828,WE,60,"-113.58445792440453,53.61188384758838",138/240,North Calder,Point,138,1.029,green,0.3,8
240A,37S,2026-07-12T01:21:38,252.45201110839844,WE,60,"-113.58794534124276,53.612533189740475",138/240,North Calder,Point,240,1.052,red,0.3,8
25_B,37S,2026-07-12T01:21:38,26.223793029785156,WE,60,"-113.59532429595856,53.60501901323663",138/240,North Calder,Point,25,1.049,grey,0.3,8
25_C,37S,2026-07-12T01:21:38,26.077302932739258,WE,60,"-113.58255717095882,53.609008250832254",138/240,North Calder,Point,25,1.043,grey,0.3,8
138A,384S,2026-07-12T01:21:38,141.5976104736328,WE,30,"-114.43892369215396,53.19256693175349",138,Keystone,Point,138,1.026,green,0.3,8
138A,388S,2026-07-12T01:21:38,140.92689514160156,EE,33,"-113.13711750950354,53.80750428672328",138,Riverside,Point,138,1.021,green,0.3,8
1381,38S,2026-07-12T01:21:38,141.91000366210938,WE,60,"-113.38065765829752,53.548731458726486",138/240,East Edmonton,Point,138,1.028,green,0.3,8
1382,38S,2026-07-12T01:21:38,141.75,WE,60,"-113.36331206675922,53.530644648540175",138/240,East Edmonton,Point,138,1.027,green,0.3,8
2401,38S,2026-07-12T01:21:38,250.3328094482422,WE,60,"-113.36582869246273,53.53187209283049",138/240,East Edmonton,Point,240,1.043,red,0.3,8
2402,38S,2026-07-12T01:21:38,250.70504760742188,WE,60,"-113.36354147764051,53.536268543040904",138/240,East Edmonton,Point,240,1.045,red,0.3,8
138A,391S,2026-07-12T01:21:38,141.6699981689453,CY,6,"-113.94471891424364,51.1935100788897",138,Turbo Balzac,Point,138,1.027,green,0.3,8
25_B,391S,2026-07-12T01:21:38,26.15399932861328,CY,6,"-113.95935227843141,51.18626306326105",138,Turbo Balzac,Point,25,1.046,grey,0.3,8
138_1,394S,2026-07-12T01:21:38,142.11000061035156,SE,48,"-110.02843656575871,50.670147970570596",138,Empress,Point,138,1.03,green,0.3,8
138_2,394S,2026-07-12T01:21:38,142.0800018310547,SE,48,"-110.03887076307426,50.68230538649549",138,Empress,Point,138,1.03,green,0.3,8
2503,394S,2026-07-12T01:21:38,25.5,SE,48,"-110.02820306862367,50.67606814879462",138,Empress,Point,25,1.02,grey,0.3,8
2507,394S,2026-07-12T01:21:38,25.5,SE,48,"-110.0293187488197,50.682698823195565",138,Empress,Point,25,1.02,grey,0.3,8
SWGR_A1A2,394S,2026-07-12T01:21:38,14.09999942779541,SE,48,"-110.03743148765976,50.67394549158559",138,Empress,Point,25,0.564,grey,0.3,8
138A,395S,2026-07-12T01:21:38,142.9600067138672,EE,56,"-112.22500983075304,53.274174671043205",138,North Holden,Point,138,1.036,green,0.3,8
25_A,395S,2026-07-12T01:21:38,25.797998428344727,EE,56,"-112.21215229224468,53.27337824985998",138,North Holden,Point,25,1.032,grey,0.3,8
138A,396S,2026-07-12T01:21:38,140.82000732421875,SW,53,"-113.93412944982887,49.51788057949928",69/138,Pincher Creek,Point,138,1.02,green,0.3,8
25_B,396S,2026-07-12T01:21:38,25.906234741210938,SW,53,"-113.9280818077757,49.51836509213335",69/138,Pincher Creek,Point,25,1.036,grey,0.3,8
69A,396S,2026-07-12T01:21:38,72.4000015258789,SW,53,"-113.92956866270475,49.52336603487276",69/138,Pincher Creek,Point,72,1.006,purple,0.3,8
138A,397S,2026-07-12T01:21:38,141.6800079345703,NW,24,"-116.60763795160703,54.1079811331446",138,Benbow,Point,138,1.027,green,0.3,8
138B1,39S,2026-07-12T01:21:38,141.40435791015625,WE,29,"-116.59762346665198,53.51021890009292",138/240,Bickerdike,Point,138,1.025,green,0.3,8
138B2,39S,2026-07-12T01:21:38,141.50827026367188,WE,29,"-116.59553726678514,53.51280829121568",138/240,Bickerdike,Point,138,1.025,green,0.3,8
240N,39S,2026-07-12T01:21:38,260.95025634765625,WE,29,"-116.60221867770275,53.51582035874738",138/240,Bickerdike,Point,240,1.087,red,0.436,8
240X,39S,2026-07-12T01:21:38,261.01953125,WE,29,"-116.60483043040128,53.51715500425661",138/240,Bickerdike,Point,240,1.088,red,0.438,8
12A,3S,2026-07-12T01:21:38,12.417174339294434,CY,44,"-115.04265142342508,51.10822326501257",138,Horseshoe,Point,25,0.497,grey,0.3,8
138A,404S,2026-07-12T01:21:38,139.8754119873047,SE,4,"-110.70720973143041,49.77587453754903",138,Peace Butte,Point,138,1.014,green,0.3,8
T1_L,404S,2026-07-12T01:21:38,4.221999645233154,SE,4,"-110.71414338994383,49.77376550626",138,Peace Butte,Point,25,0.169,grey,0.3,8
138_B1,406S,2026-07-12T01:21:38,142.58084106445312,WE,29,"-116.70861925141284,53.40436874066345",138,Fickle Lake,Point,138,1.033,green,0.3,8
25_B1,406S,2026-07-12T01:21:38,25.954998016357422,WE,29,"-116.70301778709062,53.419071080278385",138,Fickle Lake,Point,25,1.038,grey,0.3,8
138A,408S,2026-07-12T01:21:38,141.99278259277344,EE,33,"-113.07766041842406,53.792898304829656",138,Air Liquide,Point,138,1.029,green,0.3,8
138B,408S,2026-07-12T01:21:38,141.99278259277344,EE,33,"-113.08200516360283,53.78982944516066",138,Air Liquide,Point,138,1.029,green,0.3,8
13G1,408S,2026-07-12T01:21:38,13.969542503356934,EE,33,"-113.0853238113934,53.78883996821693",138,Air Liquide,Point,25,0.559,grey,0.3,8
T10,408S,2026-07-12T01:21:38,14.080000877380371,EE,33,"-113.08879021518769,53.8042804868306",138,Air Liquide,Point,25,0.563,grey,0.3,8
T20,408S,2026-07-12T01:21:38,14.020000457763672,EE,33,"-113.07607979516725,53.79974697764234",138,Air Liquide,Point,25,0.561,grey,0.3,8
